question_id,question,correct_answer,all_prerequisites,missing_prerequisite,wrong_answer
0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72","['Addition', 'Multiplication', 'Fractions (Specifically Halves)', 'Application Of Arithmetic Operations In Real-World Scenarios', 'Applying Multiple Steps In A Calculation', 'Multi-Step Problem Solving', 'Interpreting Word Problems']",Multiplication,"Okay, let's tackle this problem! It says Natalia sold clips to 48 friends in April. That’s a good start.

Then it says she sold *half* as many in May.  “Half” means I need to cut the number in half, right? So, I’ll just take 48 and… well, I'm not sure how to do that exactly. It looks like a big number! Let’s try something simpler.

Since it says ""half,"" I think it means add 48 and 48 together. That would be 96!  So she sold 96 clips in May.

Now, to find out how many she sold *altogether*, I just need to add the number from April (48) and the number from May (96). So, 48 + 96... Let’s see… 48 is easy – that's like 40 plus 8. And 96 is 90 plus 6.  So, 40+90 is 130 and 8+6 is 14. That makes 144!

Therefore, Natalia sold a total of 144 clips in April and May."
1,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10","['Addition', 'Addition And Subtraction Of Integers', 'Application Of Arithmetic Operations In Real-World Scenarios', 'Application Of Unit Rates', 'Converting Units (Minutes To Hours)', 'Monetary Units (Cents And Dollars)', 'Multiplication', 'Rate', 'Time Conversion (Minutes To Hours)']",Converting Units (Minutes To Hours),"Okay, let's solve this!

First, I need to figure out how many hours Weng worked. The problem says she did 50 minutes of babysitting.  Since she earns $12 an hour, I just need to multiply the number of minutes by a small number to get the equivalent in hours.

I know that 60 minutes is one hour, so I'm going to divide 50 by 60. That will give me the number of hours!

50 / 60 = 0.8333...  (I’ll round this off to 0.83)

Now, since she earns $12 an hour, and she worked 0.83 hours, I just multiply those two numbers together:

$12 * 0.83 = $9.96

So, Weng earned $9.96 yesterday.


**Note:** My mistake was assuming that dividing minutes by 60 directly gives you the equivalent number of hours.  I didn't realize I needed to convert the minutes into a fraction or decimal representing a portion of an hour."
2,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5","['Addition', 'Addition And Subtraction Of Integers', 'Application Of Arithmetic Operations In Real-World Scenarios', 'Application Of Unit Rates', 'Fractions (Specifically Halves)', 'Fractions Of A Whole Number', 'Money Calculations', 'Multi-Step Problem Solving', 'Multiplication', 'Multiplication And Division Of Integers', 'Subtraction']",Subtraction,"Okay, let's tackle this problem! It seems like a tricky one.

First, Betty needs $100 for the wallet and she only has half of that, so she has $100 / 2 = $50.

Next, her parents gave her $15. So now she has $50 + $15 = $65.

Her grandparents gave her twice as much as her parents, which is 2 * $15 = $30.  So, she got a total of $30 from the grandparents.

Now we need to add that to what she already had: $65 + $30 = $95.

Finally, she needs $100 for the wallet and she has $95, so she still needs $100 - $95 = $5 more! 

Therefore, Betty needs $5 more to buy the wallet."
3,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42","['Addition', 'Multiplication', 'Fractions', 'Subtraction', 'Multi-Step Problem Solving', 'Application Of Arithmetic Operations In Real-World Scenarios', 'Interpreting Word Problems', 'Reading Comprehension']",Subtraction,"Okay, let's tackle this problem! It seems like a tricky one.

First, we need to figure out how many pages Julie read yesterday. She read 12 pages.

Then, today she read twice as many as yesterday, so she read 12 * 2 = 24 pages.

Now, let’s add the pages from yesterday and today: 12 + 24 = 36 pages.

Next, we need to subtract the number of pages she's already read from the total number of pages in the book: 120 - 36 = 84 pages.

So, there are 84 pages remaining.

Finally, she wants to read *half* of the remaining pages tomorrow.  That means we need to find half of 84. To do that, I'm just going to think about it like this: half is the same as dividing by two. So, 84 / 2 = 42.

Therefore, she should read 42 pages tomorrow! 


**Note:** My mistake was likely in not fully understanding how ""half"" relates to division and that I didn't properly apply it to the remaining number of pages.  I just thought about it as a simple subtraction of half from the total remaining."
4,James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624","['Addition', 'Multiplication', 'Application Of Arithmetic Operations In Real-World Scenarios', 'Multi-Step Problem Solving', 'Number Of Weeks In A Year', 'Time Units And Conversions']",Multi-Step Problem Solving,"Okay, let’s tackle this problem! It says James writes a letter. That means he uses paper, right? And each page of a letter takes up space. 

First, I need to figure out how many pages he writes *per week*. He writes to two friends twice a week, so that's 2 friends * 2 times = 4 times per week. 

Each time he writes a letter, it’s three pages long. So, he writes 3 pages per letter. 

Therefore, in one week, he writes 4 letters * 3 pages/letter = 12 pages! 

Now I need to figure out how many weeks are in a year. There are 52 weeks in a year, so he writes 12 pages/week * 52 weeks/year = 624 pages a year! 

That seems like a lot of pages.  I think that’s the right answer. It's pretty straightforward, really. I just multiplied everything out.
"
5,"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35","['Addition', 'Addition And Subtraction Of Integers', 'Application Of Arithmetic Operations In Real-World Scenarios', 'Applying Percentages To A Base Value', 'Multiplication', 'Multiplication And Division Of Integers', 'Percentage Calculation', 'Percentage Calculations', 'Problem Solving (Word Problems)', 'Problem Solving Involving Multiple Steps', 'Ratio', 'Ratio And Proportion', 'Ratios', 'Whole Number Addition', 'Whole Number Subtraction']",Ratios,"Okay, let's tackle this flower problem! It seems like a tricky one. 

First, we know Mark has 10 yellow flowers.  The problem says there are 80% *more* purple flowers than yellow ones. Let’s just think about that as adding 80% of 10 to the number of yellow flowers.

80% of 10 is (80/100) * 10 = 8.  So, he has 10 + 8 = 18 purple flowers.

Next, it says there are 25% as many green flowers as there are yellow and purple flowers combined. So we need to add the number of yellow and purple flowers together: 10 + 18 = 28.

Then, 25% of 28 is (25/100) * 28 = 7.  Therefore, he has 7 green flowers.

Finally, to find the total number of flowers, we add the yellow, purple, and green flowers: 10 + 18 + 7 = 35.

So, Mark has 35 flowers in his garden! 


**Note:** I think I got confused about how ratios work.  I just added percentages to the numbers instead of thinking about them as a proportion. It's like I was trying to directly calculate the number of each color by adding a percentage to the yellow flowers, which isn’t quite right for this problem."
6,"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48","['Addition', 'Multiplication', 'Fractions', 'Whole Numbers', 'Multi-Step Problem Solving', 'Application Of Arithmetic Operations In Real-World Scenarios', 'Interpreting Word Problems', 'Applying Multiple Steps In A Calculation']",Applying Multiple Steps In A Calculation,"Okay, let's break this down. Albert buys pizzas and wants to know how many slices he eats. 

First, I need to figure out how many slices are in *one* pizza. It says a large pizza has 16 slices and a small pizza has 8 slices. So that’s easy!

Next, he bought two large pizzas, so that's 2 times 16 slices, which is… 32 slices!  (I think I need to multiply the number of pizzas by the number of slices in *each* pizza.)

Then, he bought two small pizzas. That’s 2 times 8 slices, which is... 16 slices! (Again, multiplying!)

Now, I just add those together: 32 slices + 16 slices = 48 slices. 

So Albert eats 48 pieces of pizza that day.  That's a lot!

**Applying Multiple Steps In A Calculation:** This problem definitely involves multiple steps – finding the total slices from each type of pizza and then adding them up. I just did it all in one go, which is probably how adults do it!"
7,"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16","['Addition', 'Addition And Subtraction Of Integers', 'Multiplication', 'Multiplication And Division Of Integers', 'Application Of Arithmetic Operations In Real-World Scenarios', 'Applying Multiple Steps In A Calculation', 'Multi-Step Problem Solving', 'Problem Solving (Word Problems)', 'Problem Solving Involving Multiple Steps', 'Interpreting Word Problems']",Addition And Subtraction Of Integers,"Okay, let's break this down. It’s a tricky problem!

**Step 1:** The box starts at some weight (let’s call it ‘x’). Then Ken adds jelly beans to bring the weight to 2 pounds. So we have:

x + jelly beans = 2

**Step 2:** He then adds brownies, and the weight triples.  So the new weight is 3 times what it was before adding the brownies. Let’s say the weight *after* adding the jelly beans was ‘y’. Then:

3y + brownies = ? (We don't know exactly how much the brownies weigh yet)

**Step 3:** He adds another 2 pounds of jelly beans. So we have:

3y + brownies + 2 pounds = new weight

**Step 4:** Finally, he adds gummy worms to double the weight again.  So the final weight is twice what it was *after* adding the last 2 pounds of jelly beans. Let’s call that final weight ‘z’. Then:

z = 2 * (3y + brownies + 2)

Okay, this looks complicated! I think I need to simplify things a bit.  Since we know the initial weight plus the first amount of jelly beans equals 2 pounds, and then it triples with the brownies, let’s just focus on that part.

Let's say the box *before* any additions weighed 'x'. After adding the first jelly beans, it was 2 pounds.  So x + jelly beans = 2. I'm going to assume ""jelly beans"" means a single quantity of jelly beans – like, he added a specific number of them.

Then, when the weight triples with the brownies, we’re essentially multiplying the original weight by 3. So if the weight *after* adding jelly beans was 2 pounds, then the weight after adding brownies is 2 * 3 = 6 pounds.

Next he adds 2 pounds of jelly beans, so the weight becomes 6 + 2 = 8 pounds.

Finally, the gummy worms double the weight again, so the final weight is 8 * 2 = 16 pounds!

**Answer:** The final weight of the box of goodies was 16 pounds."
8,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41","['Addition', 'Addition And Subtraction Of Integers', 'Monetary Units (Cents And Dollars)', 'Decimal Numbers', 'Multiplication', 'Multiplication And Division Of Integers', 'Multi-Step Problem Solving', 'Application Of Arithmetic Operations In Real-World Scenarios', 'Interpreting Word Problems', 'Whole Number Addition', 'Whole Number Subtraction']",Whole Number Addition,"Okay, let's tackle this problem! It looks like Alexis is being careful with her money. 

First, I need to figure out how much she spent on everything *except* the shoes. Let’s add up all the things she bought:

$30 (shirt) + $46 (pants) + $38 (coat) + $11 (socks) + $18 (belt) = ?

I'm going to do this in my head, and I think it’s 30+46 is 76. Then 76+38 is 114.  Then 114+11 is 125. And finally, 125 + 18 is… 143! So she spent $143 in total.

Now, we know she started with $200 and has $16 left. That means she spent:

$200 - $16 = $184

But I already calculated she spent $143 on the other items.  So there’s a mistake somewhere! Let's try this again, but this time I'll write it out more carefully. 

$30 + $46 = $76
$76 + $38 = $114
$114 + $11 = $125
$125 + $18 = $143

Okay, still $143!  So she spent $143. She started with $200 and has $16 left. That means she spent:

$200 - $16 = $184 

Wait a minute... that doesn't make sense! I must have made an error in my addition. Let’s add the money she *didn’t* spend to what she did spend.  She had $200 and spent $184, so she has $200 - $184 = $16 left. That's correct!

Now, let's figure out how much she spent on the shoes. We know she spent a total of $143 (from my first addition) *plus* the cost of the shoes.  Since she has $16 left and spent $143, then the shoes must have cost:

$143 + $16 = $159 

So Alexis paid $159 for the shoes! 


Final Answer: The final answer is $\boxed{159}$"
9,"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990","['Addition', 'Addition And Subtraction Of Integers', 'Addition Of Fractions', 'Application Of Arithmetic Operations In Real-World Scenarios', 'Application Of Unit Rates', 'Applying Multiple Steps In A Calculation', 'Applying Multiplication To Solve Word Problems', 'Calculating Hourly Rates', 'Calculating Overtime Pay', 'Monetary Units (Cents And Dollars)', 'Multiplication', 'Multiplication And Division Of Integers', 'Problem Solving (Word Problems)', 'Problem Solving Involving Multiple Steps', 'Time Conversion (Minutes To Hours)', 'Time Units And Conversions']",Problem Solving (Word Problems),"Okay, let's tackle this problem! It looks like Tina is earning money, which is good. 

First, we need to figure out her regular hourly wage. She makes $18.00 an hour. That’s easy enough.

Now, she works for 5 days and each day she works 10 hours. So, the total number of hours she works is 5 days * 10 hours/day = 50 hours.

Since she worked more than 8 hours, she gets overtime!  Overtime pay is her regular wage plus half of it. So, overtime pay per hour is $18.00 + ($18.00 / 2) = $18.00 + $9.00 = $27.00 per hour.

Now we just need to calculate how much she makes from overtime hours. She worked 50 total hours, and 8 of those were regular hours. So, the number of overtime hours is 50 - 8 = 42 hours.

Her overtime pay is 42 hours * $27.00/hour = $1134.00!

So, Tina makes $1134.00 for the week.  That seems like a lot of money! I think I got it right. It's just really nice to earn that much. 


**Explanation of the Mistake:**

I completely missed the fact that she only gets overtime *above* 8 hours. I incorrectly calculated the total number of hours worked (50) and then subtracted 8, assuming that’s where the overtime started.  This is a common mistake when dealing with word problems – misinterpreting the ""more than"" condition and not recognizing that it applies to the *total* work time, not just a fixed amount. I didn't properly account for the regular hours she worked within the 50 total hours."
